                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.3645,                 1.0047,                 1.2067,                0.81233,                0.71966,                0.81147,                0.52238,                 1.2314,                0.98554,                 1.2272,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.3352,                 1.0273,                 1.2194,                0.85212,                0.75509,                0.84144,                0.55037,                 1.1934,                 0.9388,                 1.2106,              0.0018634,              0.0018634,              0.0018634
                     71,                 1.3533,                 1.0215,                  1.213,                0.84642,                0.75908,                0.84958,                 0.5458,                 1.2413,                0.92209,                 1.2366,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.3639,                 1.0235,                 1.2048,                0.80566,                 0.7656,                 0.8367,                0.53486,                  1.216,                 1.0357,                 1.2223,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.3305,                 1.0064,                 1.2112,                0.82685,                0.74446,                0.84143,                0.55315,                 1.1979,                0.93316,                 1.1995,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.3225,                 1.0056,                 1.1948,                0.86258,                0.74801,                0.85615,                0.55667,                 1.1949,                0.93274,                 1.2134,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.3303,                0.98861,                 1.1889,                0.84492,                0.72498,                0.82594,                0.54173,                 1.2224,                0.97792,                 1.2211,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.3144,                 1.0047,                 1.2098,                0.83408,                0.75026,                0.85223,                0.55703,                 1.2097,                0.91982,                 1.2033,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.2978,                0.97805,                 1.1819,                0.84358,                0.77148,                0.85991,                0.56986,                 1.1933,                0.91198,                 1.1931,              0.0018495,              0.0018495,              0.0018495
                     78,                  1.304,                0.98411,                 1.1945,                0.83872,                0.75769,                0.85721,                0.57113,                 1.1975,                 0.8957,                 1.2039,              0.0018475,              0.0018475,              0.0018475
                     79,                 1.3115,                0.95657,                 1.1807,                0.83844,                0.75465,                0.84816,                0.57178,                 1.1583,                0.89966,                 1.1732,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.2883,                0.96192,                 1.1865,                0.84837,                0.77015,                0.86476,                0.57595,                 1.1776,                0.88107,                 1.1914,              0.0018436,              0.0018436,              0.0018436
                     81,                 1.3023,                0.94378,                  1.174,                0.86404,                0.76749,                0.86878,                0.57729,                 1.1921,                0.88183,                 1.1896,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.3099,                0.96679,                  1.187,                0.85821,                0.77812,                0.86939,                0.58653,                 1.1571,                0.87904,                 1.1735,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.2687,                0.93853,                 1.1656,                0.87231,                0.78356,                0.87771,                 0.5923,                 1.1583,                0.85504,                 1.1818,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.3008,                0.94366,                  1.174,                0.83971,                0.77945,                0.85913,                0.56012,                 1.1924,                0.93615,                 1.2086,              0.0018357,              0.0018357,              0.0018357
                     85,                 1.2791,                0.93089,                 1.1688,                0.87173,                 0.7765,                0.87767,                 0.5925,                  1.161,                0.83288,                 1.1824,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.2909,                0.94931,                 1.1826,                0.86995,                0.77989,                0.87923,                0.59281,                 1.1393,                0.83824,                 1.1738,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.2454,                0.91003,                 1.1393,                0.84977,                0.77236,                0.87293,                0.59604,                 1.1324,                 0.8562,                 1.1616,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.2891,                0.93507,                 1.1741,                0.86766,                0.79761,                0.88856,                 0.6128,                 1.1229,                0.82668,                 1.1624,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.2897,                0.94843,                 1.1699,                0.86686,                0.78654,                0.87584,                0.57429,                 1.2045,                0.94336,                 1.1797,              0.0018258,              0.0018258,              0.0018258
                     90,                 1.2619,                 0.9089,                 1.1516,                 0.8477,                0.77893,                0.87062,                0.59509,                 1.1291,                0.85141,                 1.1477,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.2529,                0.93933,                 1.1645,                0.87817,                0.77569,                0.87823,                0.60349,                 1.1171,                0.84079,                 1.1517,              0.0018218,              0.0018218,              0.0018218
                     92,                 1.2196,                0.91691,                 1.1454,                 0.8946,                0.78211,                0.89111,                0.62735,                 1.0802,                0.81233,                  1.138,              0.0018198,              0.0018198,              0.0018198
                     93,                  1.224,                0.90299,                  1.129,                0.87294,                0.80115,                0.89237,                0.60756,                 1.1394,                0.79866,                 1.1552,              0.0018178,              0.0018178,              0.0018178
                     94,                 1.2356,                0.90575,                 1.1461,                0.87252,                0.80323,                0.89404,                0.61319,                 1.1247,                0.80214,                 1.1556,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.2529,                 0.9096,                 1.1469,                0.88177,                0.79185,                0.88235,                0.59285,                 1.1321,                0.82538,                 1.1696,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.2146,                0.88853,                 1.1387,                0.88417,                0.81469,                0.90301,                0.62273,                 1.1153,                0.78637,                 1.1434,              0.0018119,              0.0018119,              0.0018119
                     97,                  1.231,                0.89318,                 1.1583,                0.85812,                0.82551,                0.90126,                0.61723,                 1.1121,                0.81846,                  1.137,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.2555,                0.89968,                 1.1403,                0.87161,                0.80027,                0.89461,                0.61083,                 1.1176,                0.80756,                 1.1486,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.2205,                 0.8936,                 1.1238,                0.87576,                0.80539,                0.89433,                0.61823,                 1.1046,                0.84978,                 1.1449,               0.001806,               0.001806,               0.001806
                    100,                 1.2559,                 0.8995,                  1.146,                0.89199,                0.81444,                0.90746,                0.63895,                 1.0713,                0.76988,                 1.1203,               0.001804,               0.001804,               0.001804
                    101,                  1.233,                0.87632,                 1.1519,                0.89186,                0.81577,                0.90928,                0.64638,                 1.0353,                 0.7541,                 1.1053,               0.001802,               0.001802,               0.001802
                    102,                 1.1956,                0.84282,                 1.1316,                0.87777,                0.81577,                0.90862,                0.64292,                 1.0598,                0.76889,                 1.1162,                 0.0018,                 0.0018,                 0.0018
