                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.91592,                0.56349,                 1.4455,                0.98545,                0.98432,                0.98662,                0.83393,                0.67708,                0.33975,                 1.2096,              0.0093202,              0.0093202,              0.0093202
                    105,                0.91042,                0.56495,                 1.4095,                0.98194,                0.98525,                0.98665,                0.83232,                0.64313,                0.34499,                 1.1738,              0.0093136,              0.0093136,              0.0093136
                    106,                0.90911,                0.59122,                  1.416,                0.98383,                0.98967,                0.98694,                 0.8392,                0.65457,                0.33716,                 1.1823,               0.009307,               0.009307,               0.009307
                    107,                0.90816,                0.56046,                 1.4423,                0.97907,                0.97877,                0.98668,                0.83724,                0.65553,                0.34633,                 1.1801,              0.0093004,              0.0093004,              0.0093004
                    108,                0.89711,                0.55419,                 1.4109,                0.98471,                0.98615,                0.98855,                0.83813,                0.65294,                0.34482,                 1.1813,              0.0092938,              0.0092938,              0.0092938
                    109,                0.94369,                  0.637,                 1.4716,                0.97977,                0.97388,                0.98474,                0.83424,                0.65417,                0.35362,                 1.1854,              0.0092872,              0.0092872,              0.0092872
                    110,                0.88448,                0.56037,                 1.4163,                0.98327,                0.98441,                0.98545,                0.83169,                0.65801,                0.33268,                  1.184,              0.0092806,              0.0092806,              0.0092806
                    111,                0.88858,                0.54859,                 1.4063,                0.98681,                0.98675,                0.98808,                0.83803,                0.66136,                0.32328,                 1.1837,               0.009274,               0.009274,               0.009274
                    112,                0.91551,                 0.6095,                 1.4641,                0.98538,                0.98436,                0.98832,                0.83691,                 0.6718,                0.33519,                 1.1972,              0.0092674,              0.0092674,              0.0092674
                    113,                0.89792,                0.56467,                 1.4406,                0.98428,                0.98486,                0.98539,                0.81088,                0.72908,                0.35685,                 1.2465,              0.0092608,              0.0092608,              0.0092608
                    114,                0.90773,                0.54685,                 1.4206,                 0.9787,                0.97557,                0.98739,                0.83867,                0.65325,                0.34105,                 1.1804,              0.0092542,              0.0092542,              0.0092542
